[*] Running ...
[*] Dataset loaded: C:\Development\cs5491-artificial-intelligence/problems/tsp_constructive\dataset\train50_dataset.npy with 64 instances.
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:3504: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:129: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
[*] Instance 0: 5.80885802519484
[*] Instance 1: 6.217814531133228
[*] Instance 2: 6.6571547443483485
[*] Instance 3: 6.392712820266071
[*] Instance 4: 6.457390464092254
[*] Instance 5: 6.677545417860478
[*] Instance 6: 6.671592832650249
[*] Instance 7: 6.323762993314988
[*] Instance 8: 6.38375777878984
[*] Instance 9: 6.81173574788061
[*] Instance 10: 6.217346719674675
[*] Instance 11: 5.3989716048340775
[*] Instance 12: 6.375035092820571
[*] Instance 13: 5.950106968693871
[*] Instance 14: 6.719400153295885
[*] Instance 15: 6.822506801299872
[*] Instance 16: 5.883574981839541
[*] Instance 17: 6.010648618529096
[*] Instance 18: 6.599315555654611
[*] Instance 19: 6.594952258996756
[*] Instance 20: 5.887241683117457
[*] Instance 21: 6.49739325074171
[*] Instance 22: 5.955566573525987
[*] Instance 23: 5.997284518031741
[*] Instance 24: 6.316235889367397
[*] Instance 25: 6.752561333473845
[*] Instance 26: 6.386704401432058
[*] Instance 27: 6.21014702848533
[*] Instance 28: 6.403307509584586
[*] Instance 29: 6.899749400380005
[*] Instance 30: 6.626849066271851
[*] Instance 31: 5.885159181323729
[*] Instance 32: 6.066645435208159
[*] Instance 33: 6.267499526716842
[*] Instance 34: 5.918465056400024
[*] Instance 35: 6.4380405179833105
[*] Instance 36: 6.490813298466449
[*] Instance 37: 6.824894939378104
[*] Instance 38: 6.0355170516549705
[*] Instance 39: 6.599135548228868
[*] Instance 40: 6.042499576812175
[*] Instance 41: 6.057361153816944
[*] Instance 42: 6.140230400518705
[*] Instance 43: 6.7105722258792975
[*] Instance 44: 6.26095559756698
[*] Instance 45: 6.715103127681782
[*] Instance 46: 6.373870483317601
[*] Instance 47: 6.0829333381128246
[*] Instance 48: 6.458903797951105
[*] Instance 49: 6.649874806086625
[*] Instance 50: 6.732551890358233
[*] Instance 51: 6.225386384994458
[*] Instance 52: 6.678000629056653
[*] Instance 53: 5.7252678826504
[*] Instance 54: 6.280791797131968
[*] Instance 55: 6.558509469020983
[*] Instance 56: 6.626302725733901
[*] Instance 57: 5.832088410054157
[*] Instance 58: 5.95656226617269
[*] Instance 59: 6.555595652584211
[*] Instance 60: 6.638016073884092
[*] Instance 61: 6.002197625805418
[*] Instance 62: 6.606953368125418
[*] Instance 63: 5.96215475546098
[*] Average:
6.332907480620623
