[*] Running ...
[*] Dataset loaded: C:\Development\cs5491-artificial-intelligence/problems/tsp_constructive\dataset\train50_dataset.npy with 64 instances.
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:3504: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:129: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
[*] Instance 0: 7.95430428402127
[*] Instance 1: 8.320951975698398
[*] Instance 2: 8.399633555699236
[*] Instance 3: 9.28359316442259
[*] Instance 4: 8.948144704061571
[*] Instance 5: 8.931192472378347
[*] Instance 6: 8.391384511796486
[*] Instance 7: 8.255777584888717
[*] Instance 8: 8.610868060542936
[*] Instance 9: 10.194375359029154
[*] Instance 10: 8.658103926869986
[*] Instance 11: 7.019059451065143
[*] Instance 12: 9.068930026541684
[*] Instance 13: 8.284935045596724
[*] Instance 14: 9.9001897604408
[*] Instance 15: 9.572187183924628
[*] Instance 16: 8.023162553151018
[*] Instance 17: 7.393474458922169
[*] Instance 18: 8.473667922662017
[*] Instance 19: 7.977807102168566
[*] Instance 20: 7.960902947152902
[*] Instance 21: 9.256062031397127
[*] Instance 22: 7.84149714610947
[*] Instance 23: 8.72294427180039
[*] Instance 24: 7.015513187706885
[*] Instance 25: 9.303868163413698
[*] Instance 26: 8.130287838494853
[*] Instance 27: 8.842202847179488
[*] Instance 28: 8.87582745864763
[*] Instance 29: 8.394320955787462
[*] Instance 30: 9.304562390890627
[*] Instance 31: 8.059572783576803
[*] Instance 32: 8.091363490250504
[*] Instance 33: 9.378695089203186
[*] Instance 34: 8.581151774543882
[*] Instance 35: 8.56858813655305
[*] Instance 36: 8.818951128104235
[*] Instance 37: 9.206049987159519
[*] Instance 38: 8.326541129762504
[*] Instance 39: 7.942717237619677
[*] Instance 40: 7.061313836428383
[*] Instance 41: 9.084525155478508
[*] Instance 42: 7.976124398844276
[*] Instance 43: 8.984067720128184
[*] Instance 44: 8.801064706378584
[*] Instance 45: 8.59138066293363
[*] Instance 46: 8.538015685749658
[*] Instance 47: 9.120991095167216
[*] Instance 48: 9.107167875678794
[*] Instance 49: 8.45078264505961
[*] Instance 50: 8.879089793542088
[*] Instance 51: 9.198274558502947
[*] Instance 52: 9.969267333649082
[*] Instance 53: 8.44678465064106
[*] Instance 54: 8.652580016482721
[*] Instance 55: 9.063345269829888
[*] Instance 56: 8.347657349353405
[*] Instance 57: 8.376446348150957
[*] Instance 58: 8.114037085465306
[*] Instance 59: 8.399929322402876
[*] Instance 60: 9.614835111618016
[*] Instance 61: 9.308711999417511
[*] Instance 62: 9.623205749830397
[*] Instance 63: 8.276778147032468
[*] Average:
8.629214681515638
