[*] Running ...
[*] Dataset loaded: C:\Development\cs5491-artificial-intelligence/problems/tsp_constructive\dataset\train50_dataset.npy with 64 instances.
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:3504: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:129: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
[*] Instance 0: 7.064747037752676
[*] Instance 1: 6.938834602047692
[*] Instance 2: 8.042080257834147
[*] Instance 3: 7.535399073366157
[*] Instance 4: 7.79239579607772
[*] Instance 5: 8.193940456024723
[*] Instance 6: 7.496854284093428
[*] Instance 7: 7.631824508787938
[*] Instance 8: 7.722349489995992
[*] Instance 9: 8.592319437629799
[*] Instance 10: 7.523749497065789
[*] Instance 11: 6.712392738985248
[*] Instance 12: 7.8164884903293395
[*] Instance 13: 7.132955254257238
[*] Instance 14: 8.142047154555828
[*] Instance 15: 7.966857806480013
[*] Instance 16: 7.236465933656152
[*] Instance 17: 6.765194908120018
[*] Instance 18: 6.9335128424599155
[*] Instance 19: 6.932408436080233
[*] Instance 20: 6.686747064945971
[*] Instance 21: 7.68473837446259
[*] Instance 22: 8.348211355946216
[*] Instance 23: 7.251254098562829
[*] Instance 24: 7.66567801778575
[*] Instance 25: 7.796873929766199
[*] Instance 26: 7.06837607074645
[*] Instance 27: 7.7560851724571815
[*] Instance 28: 7.31628176707043
[*] Instance 29: 7.995567364049679
[*] Instance 30: 7.858134356755318
[*] Instance 31: 8.251386986163315
[*] Instance 32: 7.9666849675457065
[*] Instance 33: 7.721802174847679
[*] Instance 34: 7.920809668582164
[*] Instance 35: 7.497466018502438
[*] Instance 36: 7.452216508275042
[*] Instance 37: 8.48492893195483
[*] Instance 38: 7.483873100329149
[*] Instance 39: 7.569190567811226
[*] Instance 40: 7.86879217491885
[*] Instance 41: 7.358193876748508
[*] Instance 42: 7.4234175033874275
[*] Instance 43: 8.031347176611554
[*] Instance 44: 7.511340171484045
[*] Instance 45: 7.690152157239587
[*] Instance 46: 7.869201272678713
[*] Instance 47: 7.625955647939433
[*] Instance 48: 6.859684695134188
[*] Instance 49: 7.474837338730287
[*] Instance 50: 7.841467166756216
[*] Instance 51: 8.789479035491084
[*] Instance 52: 8.342208504426896
[*] Instance 53: 7.645529567658089
[*] Instance 54: 7.834852160608921
[*] Instance 55: 7.304044886655064
[*] Instance 56: 7.317998681160117
[*] Instance 57: 6.814790256458705
[*] Instance 58: 7.434550609844706
[*] Instance 59: 7.843021616657152
[*] Instance 60: 8.397041038479161
[*] Instance 61: 6.592583808461814
[*] Instance 62: 8.000551003765937
[*] Instance 63: 7.521463373542996
[*] Average:
7.61471294104687
