[*] Running ...
[*] Dataset loaded: C:\Development\cs5491-artificial-intelligence/problems/tsp_constructive\dataset\train50_dataset.npy with 64 instances.
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:3504: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:129: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
[*] Instance 0: 6.247443895936062
[*] Instance 1: 6.8084302680722
[*] Instance 2: 7.088381078436044
[*] Instance 3: 6.877013658240468
[*] Instance 4: 7.04198691267775
[*] Instance 5: 6.846017477781537
[*] Instance 6: 6.858440135156726
[*] Instance 7: 7.120366261186638
[*] Instance 8: 6.6231076229648975
[*] Instance 9: 7.168849746790201
[*] Instance 10: 6.395980349646768
[*] Instance 11: 6.067772071766065
[*] Instance 12: 6.314479883448196
[*] Instance 13: 7.1912149144416455
[*] Instance 14: 6.527856953898231
[*] Instance 15: 6.686641187513856
[*] Instance 16: 6.0201287486435096
[*] Instance 17: 5.90851300535356
[*] Instance 18: 6.2265480621134754
[*] Instance 19: 6.230166129672239
[*] Instance 20: 6.036125053343134
[*] Instance 21: 6.929964765167438
[*] Instance 22: 6.188125297800317
[*] Instance 23: 6.222026876707998
[*] Instance 24: 6.680996447644949
[*] Instance 25: 7.136063136037242
[*] Instance 26: 6.406817483339419
[*] Instance 27: 6.286621581693518
[*] Instance 28: 6.620404884347679
[*] Instance 29: 6.471993197359239
[*] Instance 30: 6.83463296594106
[*] Instance 31: 6.575365844180544
[*] Instance 32: 6.339347815067881
[*] Instance 33: 6.491975588640335
[*] Instance 34: 5.971423628062567
[*] Instance 35: 6.3403694123618415
[*] Instance 36: 6.469931743523173
[*] Instance 37: 6.535222389516638
[*] Instance 38: 6.333503879279028
[*] Instance 39: 6.749876877904492
[*] Instance 40: 5.900840527066316
[*] Instance 41: 6.715996541927111
[*] Instance 42: 6.64798093887282
[*] Instance 43: 6.742593881683053
[*] Instance 44: 6.798090456771962
[*] Instance 45: 6.736869624677515
[*] Instance 46: 7.053600595508482
[*] Instance 47: 6.259919935094621
[*] Instance 48: 6.5142583310984365
[*] Instance 49: 6.9975270987444755
[*] Instance 50: 6.696861685585156
[*] Instance 51: 7.122317698015609
[*] Instance 52: 7.235708680258342
[*] Instance 53: 6.387970655740883
[*] Instance 54: 6.338085064605272
[*] Instance 55: 6.72253070753388
[*] Instance 56: 7.175465261971298
[*] Instance 57: 6.558180416319588
[*] Instance 58: 6.057189653927475
[*] Instance 59: 6.343016737868609
[*] Instance 60: 6.990151842633861
[*] Instance 61: 6.147500022696332
[*] Instance 62: 6.728374796192554
[*] Instance 63: 6.241496610569084
[*] Average:
6.577853984328458
