[*] Running ...
[*] Dataset loaded: C:\Development\cs5491-artificial-intelligence/problems/tsp_constructive\dataset\train50_dataset.npy with 64 instances.
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\fromnumeric.py:3504: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
C:\Users\sunscreenDuckDuck\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_methods.py:129: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
[*] Instance 0: 5.80885802519484
[*] Instance 1: 6.521713511813089
[*] Instance 2: 6.680699644377297
[*] Instance 3: 6.121990847577923
[*] Instance 4: 6.097107458055358
[*] Instance 5: 6.77422169008061
[*] Instance 6: 7.024233747190069
[*] Instance 7: 6.513654558138926
[*] Instance 8: 6.889225085839118
[*] Instance 9: 6.8737970953630825
[*] Instance 10: 6.228812972063928
[*] Instance 11: 5.275994949938374
[*] Instance 12: 6.215984414780804
[*] Instance 13: 6.1440159139282065
[*] Instance 14: 6.414998221827832
[*] Instance 15: 6.792002942484129
[*] Instance 16: 5.9022950274985
[*] Instance 17: 5.675823889970633
[*] Instance 18: 6.506001009101762
[*] Instance 19: 6.028410270668267
[*] Instance 20: 5.781608386104335
[*] Instance 21: 6.49739325074171
[*] Instance 22: 6.274263813577608
[*] Instance 23: 5.997284518031741
[*] Instance 24: 6.1779604888509985
[*] Instance 25: 6.637867047938724
[*] Instance 26: 6.102372823470746
[*] Instance 27: 6.013085971270676
[*] Instance 28: 6.224628870921597
[*] Instance 29: 7.284006680105844
[*] Instance 30: 6.433480695466473
[*] Instance 31: 6.1484748615336935
[*] Instance 32: 6.348916870698041
[*] Instance 33: 6.489000217619757
[*] Instance 34: 5.932171886084087
[*] Instance 35: 6.7665241324722984
[*] Instance 36: 6.275465214952469
[*] Instance 37: 6.925625256304419
[*] Instance 38: 6.0355170516549705
[*] Instance 39: 6.344767543241832
[*] Instance 40: 5.8555050288136545
[*] Instance 41: 5.962711735780427
[*] Instance 42: 6.33113181202478
[*] Instance 43: 6.615239566000152
[*] Instance 44: 6.26095559756698
[*] Instance 45: 6.019135507669541
[*] Instance 46: 6.268672206401681
[*] Instance 47: 5.9606452175393665
[*] Instance 48: 6.140586063499009
[*] Instance 49: 6.342218381775693
[*] Instance 50: 6.226508537200878
[*] Instance 51: 6.344815591674648
[*] Instance 52: 6.891620880350748
[*] Instance 53: 5.50226877348795
[*] Instance 54: 5.882834839447904
[*] Instance 55: 6.472627526263886
[*] Instance 56: 6.669902250315077
[*] Instance 57: 6.470811576707738
[*] Instance 58: 6.29520855466155
[*] Instance 59: 6.068276683749521
[*] Instance 60: 6.587863485986556
[*] Instance 61: 5.9652785019055194
[*] Instance 62: 6.441988569438018
[*] Instance 63: 6.3363062929965235
[*] Average:
6.298333906846759
